feature,mean_abs_shap
sensor_measurement_11,14.659619123955697
sensor_measurement_9,14.263624826967886
sensor_measurement_4,6.91318889536083
sensor_measurement_14,5.014598922614552
sensor_measurement_12,4.8293936705798455
sensor_measurement_7,3.261972858075934
sensor_measurement_15,2.6879443926831885
sensor_measurement_21,2.563330846276462
sensor_measurement_8,1.9053779023958652
sensor_measurement_20,1.8293284583715226
sensor_measurement_2,1.7395112905656172
sensor_measurement_13,1.6343064163146932
sensor_measurement_3,1.5022810546267575
sensor_measurement_17,0.7584768877156695
operational_setting_1,0.491174490384034
operational_setting_2,0.44487710171388734
sensor_measurement_6,0.03485164047519374
