feature,mean_abs_shap
feature_135,2.3769500854473007e-05
feature_200,2.3710874148314204e-05
feature_17,2.361279087245025e-05
feature_148,2.3599885993516287e-05
feature_275,2.3533847285062464e-05
feature_2,2.315957548673103e-05
feature_155,2.3038580165980526e-05
feature_577,2.2842770258543975e-05
feature_423,2.2715388028960815e-05
feature_377,2.2679914082949192e-05
feature_67,2.2230634401598808e-05
feature_78,2.2149803773156093e-05
feature_405,2.208457829541719e-05
feature_71,2.194428726178443e-05
feature_83,2.1767667456384115e-05
feature_487,2.170329475120546e-05
feature_363,2.1440281362001485e-05
feature_61,2.1362863687334095e-05
feature_406,2.1295483389624158e-05
feature_575,2.1098674364670822e-05
feature_38,2.1076286757716798e-05
feature_27,2.0767651470359954e-05
feature_89,2.0538858142637793e-05
feature_4,2.0407198429521603e-05
feature_587,2.0405407219403555e-05
feature_35,2.0389417354861778e-05
feature_215,2.038490556380431e-05
feature_317,2.029085985178913e-05
feature_270,2.0264276580859074e-05
feature_460,2.0128613332880307e-05
feature_425,1.994077624824965e-05
feature_154,1.9741918489637242e-05
feature_57,1.9592943046995727e-05
feature_352,1.951281145051453e-05
feature_204,1.9427606927918627e-05
feature_493,1.922394254133575e-05
feature_359,1.9172835520223065e-05
feature_455,1.9088988563581273e-05
feature_216,1.9002546946727982e-05
feature_553,1.891087089660204e-05
feature_150,1.8876613861039254e-05
feature_48,1.8847040756308313e-05
feature_271,1.8841193483748498e-05
feature_132,1.8837206014299606e-05
feature_295,1.8744818606410707e-05
feature_122,1.8733233357153024e-05
feature_14,1.8730381537503965e-05
feature_121,1.8567249042520632e-05
feature_138,1.855225094060048e-05
feature_164,1.846518755874308e-05
feature_376,1.8238082556785857e-05
feature_499,1.8191925921951815e-05
feature_557,1.8130396337134167e-05
feature_410,1.8102130985467336e-05
feature_70,1.7990269696963827e-05
feature_115,1.7963752650105605e-05
feature_523,1.789567155805472e-05
feature_102,1.785297254127378e-05
feature_332,1.771565934723469e-05
feature_170,1.764040665050947e-05
feature_324,1.7594260184064704e-05
feature_333,1.7565315282757576e-05
feature_225,1.751295863259239e-05
feature_25,1.7494917815134727e-05
feature_31,1.744330558078634e-05
feature_124,1.743414817788815e-05
feature_37,1.7420289567807706e-05
feature_283,1.7182370330960328e-05
feature_308,1.709613812343547e-05
feature_418,1.701411008585185e-05
feature_585,1.6896405983908786e-05
feature_500,1.6894227565306366e-05
feature_198,1.6886494579220095e-05
feature_300,1.674241695305765e-05
feature_323,1.6569632115028642e-05
feature_84,1.6553992762917205e-05
feature_561,1.6301350862738252e-05
feature_456,1.6233415215270917e-05
feature_584,1.6222840648387576e-05
feature_108,1.6019866972299643e-05
feature_104,1.5879890013244163e-05
feature_353,1.5859514979407654e-05
feature_444,1.584865832504797e-05
feature_127,1.576809425133342e-05
feature_130,1.5737792893767362e-05
feature_24,1.5721322258855364e-05
feature_177,1.5649937892119537e-05
feature_221,1.5610970055367472e-05
feature_542,1.5607011598469243e-05
feature_8,1.546576838849782e-05
feature_421,1.544784552199163e-05
feature_482,1.5444670954101215e-05
feature_196,1.538434191381813e-05
feature_195,1.5352927765952776e-05
feature_254,1.5135912245152826e-05
feature_434,1.5068707246778226e-05
feature_165,1.5057171616685955e-05
feature_411,1.4939621185864249e-05
feature_302,1.4883346253013325e-05
feature_576,1.4875776495108696e-05
feature_168,1.4858673411449188e-05
feature_559,1.470959054933508e-05
feature_202,1.4608514854082778e-05
feature_224,1.4565957907421714e-05
feature_495,1.454450571464001e-05
feature_159,1.4473194871648359e-05
feature_583,1.4437560856679029e-05
feature_213,1.4414897938876276e-05
feature_551,1.4411989679273705e-05
feature_522,1.4317546620772086e-05
feature_82,1.4293513731171488e-05
feature_128,1.426661406702375e-05
feature_491,1.4195487303241147e-05
feature_474,1.4188073256075495e-05
feature_211,1.4106059440605175e-05
feature_51,1.407396917195048e-05
feature_304,1.406673631640895e-05
feature_214,1.3984865391364516e-05
feature_550,1.3971026397359139e-05
