feature,mean_abs_shap
feature_59,0.5066857235878501
feature_21,0.17584705488489663
feature_33,0.16551892767838564
feature_488,0.14472453558897858
feature_0,0.14300678863679556
feature_587,0.14217378672988726
feature_460,0.13839115054689174
feature_103,0.13561814312451345
feature_102,0.13339713615458376
feature_477,0.13255372995216705
feature_423,0.11507320405017815
feature_132,0.10882003592163063
feature_129,0.10031929715326339
feature_117,0.09933049905259374
feature_130,0.09727595562450839
feature_333,0.09619402291080031
feature_486,0.090603180225972
feature_90,0.08975511418826726
feature_281,0.08847961160200182
feature_2,0.08629073394811262
feature_152,0.08617234470475423
feature_558,0.08351068502884176
feature_122,0.0812946877922888
feature_19,0.0797488740336994
feature_86,0.07628050862433698
feature_319,0.07533635004831889
feature_316,0.0730493673623446
feature_336,0.07284855670691544
feature_541,0.07259417192528489
feature_298,0.06917989591987578
feature_571,0.06819060159723839
feature_348,0.06684268743776835
feature_511,0.06601907480290622
feature_287,0.06596446961962327
feature_163,0.0637674604123568
feature_475,0.06342810891338195
feature_64,0.06291275940746809
feature_519,0.06248701599352085
feature_577,0.059399041680162495
feature_485,0.0572050863783687
feature_425,0.056972424340339146
feature_405,0.05683428339844904
feature_200,0.05621984693391832
feature_120,0.05445015361176977
feature_160,0.05365973174663224
feature_81,0.05241215520321427
feature_491,0.05185867584680019
feature_286,0.05038069042846068
feature_35,0.04968135698897019
feature_510,0.049551077365785234
feature_195,0.04938700270568537
feature_299,0.048604960317789006
feature_344,0.047339634759352434
feature_469,0.04628139845204169
feature_377,0.04561042938376094
feature_16,0.04560013643230237
feature_75,0.045419311844722136
feature_224,0.04457575836595739
feature_279,0.04441539128761031
feature_247,0.04374980374750783
feature_10,0.04363162585767801
feature_126,0.04289903292135034
feature_14,0.042398934876072894
feature_58,0.0420196968609806
feature_323,0.041902199505327656
feature_433,0.041880494360065475
feature_413,0.04179640572545931
feature_301,0.04101302024497484
feature_27,0.04045718782514089
feature_67,0.040318783109518475
feature_48,0.04012245087121423
feature_280,0.04006686168916309
feature_133,0.03966625206663696
feature_56,0.039289970779592155
feature_121,0.03917918585992877
feature_82,0.038963383205662415
feature_310,0.038840206563169735
feature_31,0.0387769592730054
feature_68,0.038696192129428215
feature_65,0.03867603755768947
feature_125,0.03842857272356487
feature_391,0.038383708329254224
feature_55,0.038061651505577346
feature_431,0.038044053403716124
feature_39,0.03704462440361635
feature_76,0.03663398121553577
feature_341,0.03662085838073489
feature_139,0.03660508759891722
feature_63,0.03651583225800162
feature_582,0.0362686189845874
feature_175,0.03595696294352919
feature_148,0.03595323414225604
feature_66,0.035795907903494524
feature_439,0.035762372338561756
feature_550,0.035620056776091105
feature_317,0.03527687918733506
feature_137,0.03503494534500159
feature_145,0.034980584783660555
feature_416,0.034561530561590906
feature_480,0.034445946539817876
feature_113,0.03401703642440224
feature_216,0.03388632441403144
feature_30,0.03379266019993066
feature_560,0.0336437764004641
feature_302,0.033492064513828135
feature_131,0.03219168595680018
feature_438,0.0317291062858551
feature_430,0.03121050948427283
feature_15,0.030754603957496213
feature_37,0.030662895036392364
feature_575,0.03039335061378531
feature_184,0.030140974932463514
feature_188,0.029889547054401812
feature_205,0.029554526500076738
feature_417,0.028948317980250507
feature_197,0.0285937760712504
feature_412,0.02855482076969922
feature_291,0.028508135095417542
feature_307,0.028491997780170215
feature_79,0.028329056926243976
feature_351,0.028215100079577914
feature_83,0.028100649918225834
feature_32,0.027917471373711474
feature_557,0.027820085501529063
feature_215,0.027752635481571857
feature_350,0.02770946078710999
feature_153,0.027639525485327655
feature_41,0.02760616826928194
feature_500,0.027578808197250688
feature_146,0.027560435460739656
feature_586,0.027553340903734548
feature_8,0.02683993303504151
feature_573,0.02661231966027368
feature_311,0.025866227212528962
feature_588,0.02559718816014494
feature_51,0.02553103484436506
feature_353,0.025522988353720518
feature_100,0.025448470808271985
feature_70,0.02537149443313774
feature_25,0.02529193748503555
feature_180,0.02525096333135709
feature_212,0.02525080078323845
feature_295,0.0251033994948017
feature_92,0.024940192177387962
feature_574,0.024555919907123126
feature_88,0.023977730968927646
feature_20,0.02386167825198455
feature_54,0.023753648523171588
feature_421,0.02368772576902488
feature_134,0.023519591891980846
feature_28,0.023437895691701037
feature_203,0.023246711511676545
feature_490,0.023226587839703407
feature_561,0.023065596438354697
feature_355,0.023049822289550496
feature_339,0.022940918083356954
feature_147,0.022919022868624715
feature_349,0.02291574343988718
feature_468,0.022862421410891776
feature_213,0.022767418121613835
feature_22,0.022749754485663236
feature_434,0.02271386766175895
feature_487,0.022690523546217548
feature_312,0.0226383277653408
feature_45,0.0223969362566639
feature_107,0.022184859961347066
feature_406,0.02203804382701393
feature_228,0.021896783471601025
feature_270,0.02166191179013342
feature_1,0.021397353785205037
feature_144,0.021251564372437234
feature_320,0.021187820094460793
feature_476,0.021109987121379396
feature_214,0.020999041525211343
feature_585,0.020953912659621474
feature_217,0.020938100778976163
feature_91,0.020899923111082828
feature_210,0.020635587042069754
feature_437,0.02049457234296782
feature_227,0.020247401001704805
feature_119,0.020046746703471903
feature_273,0.01990905521830135
feature_253,0.01978972189263916
feature_115,0.019700261883417464
feature_523,0.01955907845334655
feature_218,0.019531509639110104
feature_290,0.019488359737595565
feature_456,0.019144480294107227
feature_303,0.0190965843846707
feature_127,0.018862740733925402
feature_89,0.018846440514267093
feature_467,0.01838935757422166
feature_570,0.018256178033337955
feature_268,0.01817403174558013
feature_390,0.018004829828116065
feature_408,0.017986430528324843
feature_453,0.01791881251505777
feature_38,0.017794602866590632
feature_161,0.017763176645485653
feature_17,0.017618241370768298
feature_9,0.01761807112166997
feature_583,0.01736487325165794
feature_418,0.017359445922260602
feature_556,0.017303662967763152
feature_308,0.01726405818667516
feature_300,0.017211034049742682
feature_283,0.01707551412443766
feature_368,0.017074259929618175
feature_282,0.017022786130139505
feature_239,0.016939601635699054
feature_271,0.016925804374450643
feature_71,0.016893122568510607
feature_172,0.01666618788257481
feature_182,0.016637793519840703
feature_354,0.016614724456953403
feature_584,0.0165953995762998
feature_424,0.016558444737175708
feature_436,0.016549639303595338
feature_84,0.016529688670850428
feature_34,0.016523793699821925
feature_140,0.01649902932581086
feature_151,0.01649846939561358
feature_168,0.016440317817239362
feature_98,0.01643316952672663
feature_201,0.01640333456518366
feature_47,0.01630280849054451
feature_128,0.016212517089273917
feature_426,0.015882569624454817
feature_225,0.015856810319571986
feature_294,0.015846042238293036
feature_57,0.01576254736783641
feature_150,0.015715607419956895
feature_26,0.015668943389613707
feature_563,0.015652151805987426
feature_352,0.015643628853677538
feature_540,0.015635338020420813
feature_77,0.015604096865977284
feature_365,0.015546682030921442
